email,ip,ip_score,ip_raw_score,ip_classification,ip_type,is_bot,events,final_email_score,final_classification
alberto.orlando@division.it,104.47.62.33,0,0,Foreign IP,foreign,True,Clicked Link | Email Opened,0,Bot/scanner only
alessandra.vitale@cloud.it,79.23.89.167,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
alessia.leone@unit.it,79.34.156.201,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
alessia.lombardi@network.it,40.112.72.205,0,0,Foreign IP,foreign,True,Clicked Link | Email Opened,0,Bot/scanner only
andrea.moretti@org.it,151.26.78.199,100,100,Genuine user,legitimate_isp,False,Email Opened,100,Real user only
anna.ferrari@corp.it,79.23.145.90,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
antonio.santoro@innovation.it,104.18.32.67,0,0,Foreign IP,foreign,True,Email Opened | Clicked Link,0,Bot/scanner only
aurora.sanna@platform.it,93.36.211.134,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
beatrice.de.santis@hub.it,151.76.89.211,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
camilla.pellegrini@production.it,82.61.123.178,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
cecilia.messina@division.it,87.5.123.98,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
chiara.bruno@startup.it,162.158.89.234,0,0,Foreign IP,foreign,True,Clicked Link | Email Opened,0,Bot/scanner only
chiara.ferraro@business.it,151.28.167.89,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
cristina.monti@sales.it,93.45.123.77,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
daniele.ferri@retail.it,151.101.2.132,0,0,Foreign IP,foreign,True,Clicked Link | Email Opened,0,Bot/scanner only
davide.villa@solutions.it,151.55.234.88,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
denise.ferrara@center.it,82.53.167.211,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
diego.giuliani@enterprise.it,8.8.8.8,0,0,Foreign IP,foreign,True,Clicked Link | Email Opened,0,Bot/scanner only
edoardo.rossetti@corp.it,104.16.132.229,0,0,Foreign IP,foreign,True,Email Opened | Clicked Link,0,Bot/scanner only
elena.conti@mycompany.it,82.84.123.67,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
elisa.rinaldi@venture.it,87.23.67.145,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
emanuele.vitali@group.it,157.55.39.122,0,0,Foreign IP,foreign,True,Email Opened | Clicked Link,0,Bot/scanner only
federico.gentile@digital.it,87.12.45.199,100,100,Genuine user,legitimate_isp,False,Email Opened,100,Real user only
filippo.cattaneo@lab.it,167.89.123.45,0,0,Foreign IP,foreign,True,Clicked Link | Email Opened,0,Bot/scanner only
francesca.greco@firm.it,93.42.10.156,100,110,Genuine user,legitimate_isp,False,Email Opened | Email Opened | Clicked Link,100,Real user only
francesco.testa@office.it,142.251.35.78,0,0,Foreign IP,foreign,True,Clicked Link | Email Opened,0,Bot/scanner only
gabriele.parisi@group.it,13.33.88.231,0,0,Foreign IP,foreign,True,Clicked Link | Email Opened,0,Bot/scanner only
giacomo.farina@factory.it,185.243.218.60,0,0,Foreign IP,foreign,True,Email Opened | Clicked Link,0,Bot/scanner only
giorgia.palumbo@system.it,151.24.123.98,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
giovanni.verdi@example.com,54.239.28.123,0,0,Foreign IP,foreign,True,Email Opened | Clicked Link,0,Bot/scanner only
giulia.costa@platform.it,34.102.136.180,0,0,Foreign IP,foreign,True,Clicked Link | Email Opened,0,Bot/scanner only
greta.lombardo@sector.it,79.12.234.156,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
irene.ferretti@dept.it,151.45.123.90,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
jacopo.silvestri@unit.it,54.192.168.32,0,0,Foreign IP,foreign,True,Clicked Link | Email Opened,0,Bot/scanner only
laura.bianchi@company.it,198.51.100.45,0,0,Foreign IP,foreign,True,Email Opened | Clicked Link,100,Bot scanner + Real user
laura.bianchi@company.it,151.18.25.78,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Bot scanner + Real user
lorenzo.mancini@admin.it,20.42.73.45,0,0,Foreign IP,foreign,True,Email Opened | Clicked Link,0,Bot/scanner only
luca.galli@services.it,79.54.201.123,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
marco.colombo@business.it,203.0.113.88,0,0,Foreign IP,foreign,True,Email Opened | Clicked Link,0,Bot/scanner only
mario.rossi@azienda.it,93.35.50.120,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
martina.battaglia@web.it,93.34.78.156,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
massimo.mariani@branch.it,23.21.227.69,0,0,Foreign IP,foreign,True,Clicked Link | Email Opened,0,Bot/scanner only
matteo.fontana@enterprise.it,93.40.123.44,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
monica.riva@brand.it,79.56.234.121,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
nicola.fabbri@logistics.it,44.228.128.34,0,0,Foreign IP,foreign,True,Email Opened | Clicked Link,0,Bot/scanner only
nicole.basile@team.it,93.41.89.234,100,110,Genuine user,legitimate_isp,False,Email Opened | Clicked Link,100,Real user only
